代號,名稱,年/月,  現金及約當現金,  不動產廠房及設備,資產總額,負債總額,  研究發展費,來自營運之現金流量,  購置不動產廠房設備（含預付）－CFI
1907,永豐餘,2026/06,"11,212,283","48,497,868","193,665,624","84,832,937","290,468","1,812,608","-1,877,381"
1909,榮成,2026/06,"1,253,281","48,765,462","69,616,191","48,794,799","714,609","1,338,104","-229,813"
2002,中鋼,2026/06,"20,979,537","382,377,366","685,877,064","350,818,539","1,116,625","10,615,408","-7,410,635"
2006,東和鋼鐵,2026/06,"1,226,676","18,174,642","53,355,877","19,087,824",0,"3,663,449","-957,619"
2007,燁興,2026/06,"101,996","5,591,741","12,033,549","8,109,316",0,"15,970","-207,884"
2008,高興昌,2026/06,"333,274","1,453,472","8,737,587","4,615,877",0,"-77,826","-15,264"
2009,第一銅,2026/06,"140,136","1,117,548","11,180,919","2,416,457",,"-142,509","-109,930"
2010,春源,2026/06,"1,042,557","6,557,360","23,666,192","10,729,455",0,"1,656,027","-65,214"
2012,春雨,2026/06,"974,297","2,813,758","11,477,844","7,045,046","40,792","185,975","-147,945"
2013,中鋼構,2026/06,"777,650","1,909,168","15,861,673","10,345,199","9,793","-1,226,680","-258,967"
2014,中鴻,2026/06,"2,021,804","8,929,387","26,382,656","14,097,410",0,"1,536,219","-109,622"
2015,豐興,2026/06,"2,572,457","9,637,872","26,211,679","4,143,635","24,422","1,758,990","-540,067"
2017,官田鋼,2026/06,"305,887","4,649,634","17,117,414","8,662,799","1,304","-226,816","-1,101,901"
2020,美亞,2026/06,"690,993","1,127,236","9,388,800","5,119,108",0,"126,878","-102,749"
2022,聚亨,2026/06,"1,053,093","3,690,336","11,292,102","4,498,337",913,"27,426","-236,774"
2023,燁輝,2026/06,"7,139,535","43,315,122","101,717,563","70,103,290","88,116","-2,531,448","-537,910"
2024,志聯,2026/06,"117,478","888,224","1,647,717","506,867",0,"50,749","-9,830"
2025,千興,2026/06,"62,560","469,406","2,693,978","607,648",0,"31,171","-51,418"
2027,大成鋼,2026/06,"13,651,310","47,915,679","165,520,267","72,291,289",0,"12,480,568","-4,047,138"
2028,威致,2026/06,"190,238","4,110,845","8,577,332","3,791,194","1,092","644,056","-205,825"
2029,盛餘,2026/06,"2,563,337","2,582,037","11,735,649","1,442,548","42,800","259,260","-193,013"
2030,彰源,2026/06,"1,650,984","5,276,496","13,202,565","7,876,579",0,"-37,204","-398,125"
2031,新光鋼,2026/06,"1,242,911","6,329,846","31,180,449","18,482,054",0,"-360,837","-502,322"
2032,新鋼,2026/06,"214,878","500,174","2,363,446","556,501",0,"-51,795",-905
2033,佳大,2026/06,"56,469","545,710","1,260,923","192,089",0,"51,368","-70,587"
2034,允強,2026/06,"917,111","10,489,853","23,939,122","14,936,949",0,"-1,381,589","-284,903"
2035,唐榮,2026/06,"31,551","3,459,706","18,641,745","16,177,553","4,093","-1,261,817","-101,200"
2038,海光,2026/06,"593,421","4,227,732","9,081,994","5,086,034","1,623","970,504","-160,990"
