firm_id,firm_name,date,rd_exp,capx,oancf,assets,ppe,cash,debt,industry,TEJ子產業代碼,mkt_cap,year,firm_findep,findep_s,log_rd,size,cash_ratio,tangibility,leverage,tobin_q,monetary_tightening,inter_tight_findep
4119,旭富,2026/06,19218.0,168337.0,193642,6925446,5108845,83053,1615065,17C,17C1A,5354003.0,2026,-0.1503234583009083,0.008617877337973031,9.863654652034406,15.750713012295936,0.011992440631260428,0.71402272872828,0.23320736310701146,1.0062988001061592,,
4120,友華,2026/06,266601.0,159202.0,-289315,11750301,3452437,1545691,5411781,17C,17C1B,3951326.0,2026,2.8172824462004247,0.008617877337973031,12.493512188574075,16.279389415247607,0.1315448004268146,0.29381689881816647,0.4605653080716826,0.7968397575517427,,
4121,優盛,2026/06,25959.0,20998.0,142700,4004188,834562,521620,2093444,17X,17X2,1109532.0,2026,-5.795885322411658,-5.350321019125554,10.164312170818027,15.202851371361941,0.13026860876662136,0.2084222818708812,0.5228136141459891,0.7999064978967022,,
4123,晟德,2026/06,44832.0,55479.0,141846,23966166,1832387,3354171,6810599,17C,17C1B,29358104.0,2026,-1.5567512031579516,0.008617877337973031,10.710699754384043,16.99215364367979,0.13995442575170347,0.07645724393296784,0.2841755748499781,1.5091568255014174,,
4126,太醫,2026/06,39412.0,31716.0,263559,4190059,1550342,886517,1333583,17G,17G2,5829780.0,2026,-7.3099697313658725,0.3552450874748451,10.581850990103325,15.248225372944766,0.211576257040772,0.3700048137746986,0.318273083982827,1.7096091009696999,,
4127,天良,2026/06,713.0,11645.0,47227,1223350,338498,167105,704100,17C,17C2,3125408.0,2026,-3.0555603263203093,0.008617877337973031,6.570882962339584,14.01710355524804,0.13659623165896922,0.2766975926758491,0.5755507418155066,3.1303453631421916,,
4128,中天,2026/06,226886.0,23623.0,-145146,12829815,1018400,572673,2140934,17C,17C1E,9440145.0,2026,7.1442661812640225,0.008617877337973031,12.332207375164474,16.367282317158164,0.04463610737956861,0.07937760599042153,0.16687177484632476,0.9026692122996317,,
4129,聯合,2026/06,157360.0,385939.0,190638,8510774,2065851,579929,4505750,17G,17G4,8843365.0,2026,0.5060411101236205,0.3552450874748451,11.966297807897858,15.956843448235077,0.06814057099859543,0.2427336221123954,0.52941718344301,1.568496002831235,,
4131,浩泰,2026/06,4598.0,46055.0,-29083,581032,142207,76269,274158,17G,17G4,1335947.0,2026,1.6314840951036804,0.3552450874748451,8.433594167539924,13.27256111177001,0.13126471519640914,0.24474899833399882,0.4718466452794338,2.7711124344270197,,
4133,亞諾法,2026/06,24144.0,3047.0,35585,1352893,238796,405280,79679,17G,17G3,1238329.0,2026,-10.678700361010831,0.3552450874748451,10.091832598307642,14.11775582050755,0.2995654497436235,0.17650767651248103,0.06423362732568252,0.9742145165951779,,
4138,曜亞,2026/06,0.0,29346.0,40020,2961334,145303,598396,1174152,17Y,17Y,2036430.0,2026,-0.36372929871191984,-1.5547307281535794,0.0,14.901150400452138,0.20206974289289895,0.0490667381659752,0.39649428264424075,1.0841674731725635,,
4142,國光生,2026/06,75987.0,104324.0,-503212,8112825,3979012,1789511,3407897,17C,17C1D,7559341.0,2026,5.823549710517235,0.008617877337973031,11.23833071206494,15.90895670082532,0.22057803539457588,0.4904594885258834,0.420062925060013,1.3518395873200766,,
4147,中裕,2026/06,222248.0,30362.0,13873,4500968,789069,996458,824485,17C,17C1D,17758130.0,2026,0.5430801659969698,0.008617877337973031,12.311553653928458,15.319803042718581,0.22138748820253776,0.1753109553322752,0.1831794849463493,4.128581896161004,,
4153,鈺緯,2026/06,39289.0,2505.0,55840,1465931,212847,549137,498702,23C,23C1,1760040.0,2026,-21.291417165668662,0.8643247076616943,10.578725312552505,14.198001093472488,0.3745994866061227,0.1451957834304616,0.3401947294927251,1.5408242270611645,,
4155,訊映,2026/06,24058.0,94893.0,191598,3993724,1944003,370136,1419403,17G,17G3,2177494.0,2026,-1.0190951914261326,0.3552450874748451,10.088264425905146,15.200234686914646,0.0926794140005669,0.48676448347457163,0.35540838575725314,0.9006373500021534,,
4160,訊聯基因,2026/06,32703.0,11952.0,8996,717862,53140,83533,224197,17H,17H2,1067600.0,2026,0.24732262382864792,-0.7823743533806006,10.395252673563377,13.484032629000364,0.11636359077371417,0.07402536977859255,0.31231211569911765,1.7995060331930093,,
4161,聿新科,2026/06,37110.0,6691.0,19927,1622863,491141,410291,630279,17G,17G3,1381565.0,2026,-1.978179644298311,0.3552450874748451,10.52166870060616,14.299702431350383,0.2528192459868763,0.30263860843459983,0.3883747426615802,1.2396881314072723,,
4162,智擎,2026/06,152271.0,224.0,359380,5422065,2191,1176771,512252,17C,17C1C,8886358.0,2026,-1603.375,0.008617877337973031,11.933423674312124,15.505987297165127,0.21703373161332445,0.0008501028267625401,0.09447544431872358,1.733400466427459,,
4163,鐿鈦,2026/06,135832.0,27936.0,254370,4761182,1965770,814049,1999535,17G,17G2,6182960.0,2026,-8.105455326460481,0.3552450874748451,11.819181469004203,15.376006514709193,0.17097624077382464,0.4128743660712823,0.4199660924535126,1.7185847968004584,,
4164,承業醫,2026/06,0.0,323633.0,-308154,16182096,6122931,1367423,8319042,17G,17G2,5634722.0,2026,1.952171132115699,0.3552450874748451,0.0,16.599416003849935,0.08450221775967712,0.37837688022614624,0.5140892749616613,0.8622964540563843,,
4166,友霖,2026/06,46045.0,59602.0,127170,3011929,624200,575250,353900,17C,17C1C,6331062.0,2026,-1.1336532331129827,0.008617877337973031,10.737396175804315,14.91809129524693,0.19099055787835637,0.20724260100420694,0.11749944968822307,2.219495213864603,,
4167,松瑞藥,2026/06,35036.0,40281.0,-432580,5163841,803469,979925,768964,17C,17C1A,6348580.0,2026,11.739058116729971,0.008617877337973031,10.464159924946674,15.45719124038944,0.18976668723920817,0.15559522456249136,0.14891318303565118,1.3783429815131798,,
4168,醣聯,2026/06,114572.0,2679.0,-121102,1391330,773771,435016,540595,17C,17C1D,2880538.0,2026,46.20418066442703,0.008617877337973031,11.648967453410002,14.145770682164882,0.3126619852946461,0.5561376524620327,0.3885454924424831,2.4588940078917294,,
